Date,Open,High,Low,Close,Adj Close,Volume
1997-06-11,3884.020020,3886.090088,3875.750000,3881.540039,3881.540039,0
1997-06-12,3894.030029,3897.500000,3890.070068,3894.790039,3894.790039,0
1997-06-13,3911.639893,3912.310059,3902.570068,3903.850098,3903.850098,0
1997-06-16,3908.770020,3916.800049,3901.110107,3916.800049,3916.800049,0
1997-06-17,3920.580078,3920.919922,3890.790039,3895.010010,3895.010010,0
1997-06-18,3902.669922,3907.909912,3902.280029,3906.370117,3906.370117,0
1997-06-19,3916.110107,3940.969971,3916.110107,3936.340088,3936.340088,0
1997-06-20,3941.889893,3945.020020,3937.239990,3940.820068,3940.820068,0
1997-06-23,3930.790039,3932.959961,3923.560059,3925.429932,3925.429932,0
1997-06-24,3915.120117,3924.070068,3914.929932,3922.199951,3922.199951,0
1997-06-25,3943.100098,3952.330078,3943.100098,3951.449951,3951.449951,0
1997-06-26,3950.520020,3954.110107,3941.709961,3946.860107,3946.860107,0
1997-06-27,3943.709961,3945.790039,3939.929932,3944.889893,3944.889893,0
1997-06-30,3944.030029,3947.260010,3933.860107,3934.189941,3934.189941,0
1997-07-01,3945.100098,3954.120117,3945.100098,3949.510010,3949.510010,0
1997-07-02,3959.689941,3962.469971,3953.419922,3957.729980,3957.729980,0
1997-07-03,3967.399902,3978.330078,3965.669922,3977.300049,3977.300049,0
1997-07-04,3976.600098,3992.889893,3971.320068,3984.929932,3984.929932,0
1997-07-07,3994.600098,4001.659912,3993.449951,4001.310059,4001.310059,0
1997-07-08,4016.080078,4023.560059,4014.080078,4018.129883,4018.129883,0
1997-07-09,4043.209961,4060.209961,4042.860107,4049.580078,4049.580078,0
1997-07-10,4045.020020,4045.669922,4020.449951,4032.399902,4032.399902,0
1997-07-11,4043.719971,4055.129883,4038.790039,4050.620117,4050.620117,0
1997-07-14,4061.939941,4076.790039,4060.649902,4075.219971,4075.219971,0
1997-07-15,4071.550049,4071.550049,4048.189941,4057.189941,4057.189941,0
1997-07-16,4066.929932,4101.439941,4063.080078,4100.149902,4100.149902,0
1997-07-17,4103.339844,4106.180176,4082.199951,4094.719971,4094.719971,0
1997-07-18,4096.629883,4096.629883,4067.310059,4068.459961,4068.459961,0
1997-07-21,4055.459961,4056.260010,4012.139893,4013.429932,4013.429932,0
